action_rank,seed_rank,batch_slot,target_id,scope,lane,action_status,target_bundle_folder,action_folder,action_md,request_md,operator_clearance_csv,required_field,blockers,recommended_action,unlocks,verification_command,prediction_pdb,native_pdb
22,8,8,HIST_UBIQUITIN_MINI,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_022_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_022_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_022_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,data/native/ubiquitin_mini.pdb
23,8,8,HIST_UBIQUITIN_MINI,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_023_calibration,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_023_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_023_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,data/native/ubiquitin_mini.pdb
24,8,8,HIST_UBIQUITIN_MINI,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_024_ablation,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_024_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/08_HIST_UBIQUITIN_MINI/action_024_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,data/native/ubiquitin_mini.pdb
25,9,9,HIST_VILLIN_HP35,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_025_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_025_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_025_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,data/native/villin_hp35.pdb
26,9,9,HIST_VILLIN_HP35,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_026_calibration,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_026_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_026_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,data/native/villin_hp35.pdb
27,9,9,HIST_VILLIN_HP35,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_027_ablation,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_027_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/09_HIST_VILLIN_HP35/action_027_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,data/native/villin_hp35.pdb
28,10,10,HIST_WW_DOMAIN_FIP35,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_028_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_028_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_028_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,data/native/ww_domain_fip35.pdb
29,10,10,HIST_WW_DOMAIN_FIP35,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_029_calibration,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_029_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_029_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,data/native/ww_domain_fip35.pdb
30,10,10,HIST_WW_DOMAIN_FIP35,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_030_ablation,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_030_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/10_HIST_WW_DOMAIN_FIP35/action_030_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,data/native/ww_domain_fip35.pdb
31,11,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_031_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_031_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_031_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb
32,11,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_032_calibration,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_032_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_032_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb
33,11,11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_033_ablation,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_033_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/11_HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005/action_033_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb
34,12,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_034_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_034_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_034_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb
35,12,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_035_calibration,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_035_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_035_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb
36,12,12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_036_ablation,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_036_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/12_HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451/action_036_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb
37,13,13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_037_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_037_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_037_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb
38,13,13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_038_calibration,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_038_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/13_HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871/action_038_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex_minimized.pdb,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb
