group_rank,target_id,group_id,group_status,model1_model_id,model1_metric_status,model1_gdt_ts_proxy,model1_gdt_ha_proxy,model1_ca_lddt_proxy,model1_tm_score_proxy,model1_ca_rmsd_angstrom,best_top5_model_id,best_top5_model_number,best_top5_metric_status,best_top5_gdt_ts_proxy,best_top5_gdt_ha_proxy,best_top5_ca_lddt_proxy,best_top5_tm_score_proxy,best_top5_ca_rmsd_angstrom,best_minus_model1_gdt_ts_proxy,top5_model_count,top5_ready_count,complete_top5_group,blockers,claim_boundary,rule_id
56,T1212,331,group_score_ready,T1212TS331_1,metric_ready,1.341,0.376,0.004,0.040,37.976,T1212TS331_4,4,metric_ready,2.146,0.644,0.006,0.103,22.811,0.805,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
57,T1212,338,group_score_ready,T1212TS338_1,metric_ready,0.751,0.107,0.001,0.048,34.268,T1212TS338_1,1,metric_ready,0.751,0.107,0.001,0.048,34.268,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
58,T1212,345,group_score_ready,T1212TS345_1,metric_ready,0.483,0.161,0.002,0.032,42.272,T1212TS345_2,2,metric_ready,50.429,25.805,0.258,0.835,3.429,49.946,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
59,T1212,358,group_score_ready,T1212TS358_1,metric_ready,30.687,9.227,0.092,0.619,6.052,T1212TS358_4,4,metric_ready,44.206,19.850,0.198,0.771,4.196,13.519,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
60,T1212,361,group_score_ready,T1212TS361_1,metric_ready,1.073,0.054,0.001,0.045,35.678,T1212TS361_5,5,metric_ready,3.004,0.483,0.005,0.108,22.146,1.931,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
61,T1212,369,group_score_ready,T1212TS369_1,metric_ready,7.457,1.341,0.013,0.270,12.667,T1212TS369_5,5,metric_ready,48.283,23.498,0.235,0.818,3.638,40.826,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
62,T1212,375,group_score_ready,T1212TS375_1,metric_ready,1.341,0.215,0.002,0.060,30.494,T1212TS375_3,3,metric_ready,8.745,2.414,0.024,0.277,12.463,7.404,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
63,T1212,388,group_score_ready,T1212TS388_1,metric_ready,12.661,2.629,0.026,0.384,9.754,T1212TS388_2,2,metric_ready,32.242,8.745,0.087,0.665,5.473,19.581,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
64,T1212,397,group_score_ready,T1212TS397_1,metric_ready,0.376,0.000,0.000,0.053,32.509,T1212TS397_2,2,metric_ready,0.483,0.000,0.000,0.052,32.792,0.107,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
65,T1212,419,group_score_ready,T1212TS419_1,metric_ready,0.751,0.161,0.002,0.036,39.625,T1212TS419_2,2,metric_ready,62.393,37.768,0.378,0.896,2.631,61.642,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
66,T1212,423,group_score_ready,T1212TS423_1,metric_ready,0.268,0.000,0.000,0.030,44.111,T1212TS423_4,4,metric_ready,2.092,0.536,0.005,0.065,29.127,1.824,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
67,T1212,425,group_score_ready,T1212TS425_1,metric_ready,2.200,0.644,0.006,0.106,22.380,T1212TS425_3,3,metric_ready,18.938,3.702,0.037,0.482,7.992,16.738,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
68,T1212,450,group_score_ready,T1212TS450_1,metric_ready,0.429,0.054,0.001,0.033,41.997,T1212TS450_5,5,metric_ready,0.483,0.000,0.000,0.044,35.740,0.054,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
69,T1212,456,group_score_ready,T1212TS456_1,metric_ready,0.751,0.161,0.002,0.032,42.089,T1212TS456_5,5,metric_ready,2.039,0.483,0.005,0.093,24.048,1.288,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
70,T1212,462,group_score_ready,T1212TS462_1,metric_ready,0.000,0.000,0.000,0.025,47.962,T1212TS462_1,1,metric_ready,0.000,0.000,0.000,0.025,47.962,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
71,T1212,465,group_score_ready,T1212TS465_1,metric_ready,2.468,0.697,0.007,0.116,21.319,T1212TS465_2,2,metric_ready,4.989,0.805,0.008,0.215,14.709,2.521,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
72,T1212,471,group_score_blocked,,,,,,,,T1212TS471_2,2,metric_ready,30.258,8.584,0.086,0.630,5.902,,1,1,False,model1_missing_or_blocked,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
73,T1212,475,group_score_ready,T1212TS475_1,metric_ready,0.966,0.322,0.003,0.028,45.612,T1212TS475_3,3,metric_ready,2.039,0.536,0.005,0.091,24.368,1.073,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
74,T1212,481,group_score_ready,T1212TS481_1,metric_ready,1.073,0.054,0.001,0.084,25.389,T1212TS481_5,5,metric_ready,24.034,6.599,0.066,0.540,7.116,22.961,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
